Crash Year,Crash Month,Crash Day,Time of Day,Day of Week,City or Township,Crash: Intersection,Crash: Hit-and-Run,Lighting Conditions,Weather Conditions,Speed Limit at Crash Site,Imputed_Speed Limit at Crash Site,Worst Injury In Crash,Person Age,Imputed_Person Age,Person Gender,ADI Impute Column,Column 2
2018,12,1,11:00 AM - 12:00 noon,6,Wayne County: Wyandotte,1,0,2,2,25,25,0,59,59,0,[2018 12 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 25 0 59 1 0],[59]
2018,12,1,7:00 PM - 8:00 PM,6,Wayne County: Detroit,0,0,4,3,35,35,1,35,35,1,[2018 12 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 35 1 35 0 1],[35]
2018,3,2,10:00 AM - 11:00 AM,5,Wayne County: Detroit,0,0,2,2,30,30,1,78,78,1,[2018 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 5 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 30 1 78 0 1],[78]
2018,3,2,9:00 AM - 10:00 AM,5,Wayne County: Detroit,1,1,2,1,35,35,1,,"42,755034665",1,"[2018 3 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 35 1 42.177974348506 0.421413311098785
	 0.583685119103908]","[42,7550346649059]"
2018,4,2,12:00 noon - 1:00 PM,1,Wayne County: Detroit,1,0,2,1,35,35,1,63,63,0,[2018 4 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 35 1 63 1 0],[63]
2018,4,2,11:00 PM - 12:00 midnight,1,Wayne County: Detroit,1,0,4,1,25,25,1,,"42,755034665",0,"[2018 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 25 1 41.7118576252218 1
	 0]","[42,7550346649059]"
2018,4,2,9:00 PM - 10:00 PM,1,Wayne County: Detroit,0,1,4,1,35,35,1,,"42,755034665",1,"[2018 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 35 1 41.1081439041584 0.265494727308152
	 0.732641873081963]","[42,7550346649059]"
2018,5,2,10:00 AM - 11:00 AM,3,Wayne County: Northville,0,0,2,1,25,25,0,60,60,1,[2018 5 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 25 0 60 0 1],[60]
2018,7,2,7:00 PM - 8:00 PM,1,Wayne County: Hamtramck,0,1,2,1,25,25,2,,"42,755034665",0,"[2018 7 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 25 2 43.7258472722826 0.502282137005564
	 0.499585594105398]","[42,7550346649059]"
2018,8,2,9:00 PM - 10:00 PM,4,Wayne County: Redford Twp.,1,0,4,1,45,45,2,22,22,0,[2018 8 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 45 2 22 1 0],[22]
